target,category,shape,kernel,family,config,tile_m,tile_n,tile_k,threads_x,threads_y,average_ms,median_ms,min_ms,max_ms,stability_ratio,stable,tuning_score_ms,average_gflops,median_gflops
edge_square,edge_heavy,130x130x130,tiled,scalar,m32n8k8_t8x32,32,8,8,8,32,0.287904,0.286687,0.278958,0.298750,1.042075,true,0.286687,15.262032,15.326793
edge_square,edge_heavy,130x130x130,tiled,scalar,m16n32k8_t32x16,16,32,8,32,16,0.311300,0.305042,0.288334,0.340125,1.115010,true,0.305042,14.114993,14.404574
edge_square,edge_heavy,130x130x130,tiled,scalar,m32n16k8_t16x32,32,16,8,16,32,0.286888,0.282187,0.276292,0.310083,1.098854,true,0.282187,15.316098,15.571207
edge_square,edge_heavy,130x130x130,tiled,scalar,m32n32k8_t32x32,32,32,8,32,32,0.306458,0.307833,0.295916,0.313708,1.019085,true,0.307833,14.338008,14.273973
edge_square,edge_heavy,130x130x130,tiled,scalar,m8n64k8_t64x8,8,64,8,64,8,0.296913,0.296749,0.286500,0.310708,1.047038,true,0.296749,14.798973,14.807102
edge_square,edge_heavy,130x130x130,tiled,scalar,m64n8k8_t8x64,64,8,8,8,64,0.287967,0.287167,0.280125,0.295167,1.027858,true,0.287167,15.258703,15.301201
edge_square,edge_heavy,130x130x130,tiled,scalar,m16n64k8_t64x16,16,64,8,64,16,0.305621,0.304896,0.296791,0.326083,1.069489,true,0.304896,14.377298,14.411471
edge_square,edge_heavy,130x130x130,tiled,scalar,m64n16k8_t16x64,64,16,8,16,64,0.296938,0.296937,0.280209,0.313167,1.054658,true,0.296937,14.797727,14.797752
edge_square,edge_heavy,130x130x130,tiled,scalar,m16n16k4_t16x16,16,16,4,16,16,0.321154,0.319688,0.287042,0.368625,1.153079,true,0.319688,13.681905,13.744673
edge_square,edge_heavy,130x130x130,tiled,scalar,m32n8k4_t8x32,32,8,4,8,32,0.318929,0.314438,0.288417,0.348417,1.108064,true,0.314438,13.777352,13.974160
edge_square,edge_heavy,130x130x130,tiled,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.250558,0.243375,0.228666,0.289750,1.190550,true,0.243375,17.536844,18.054443
edge_square,edge_heavy,130x130x130,tiled,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.247292,0.242188,0.223583,0.325209,1.342796,true,0.242188,17.768490,18.142930
edge_square,edge_heavy,130x130x130,tiled,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.242471,0.241104,0.233625,0.256625,1.064375,true,0.241104,18.121762,18.224501
edge_square,edge_heavy,130x130x130,mps,,,,,,,,0.271962,0.276459,0.251666,0.285042,1.031048,true,,16.156645,15.893886
edge_rect,irregular,255x257x129,naive,,,,,,,,0.536767,0.533667,0.525458,0.562250,1.053561,true,,31.499786,31.682764
edge_rect,irregular,255x257x129,tiled,scalar,m8n8k8_t8x8,8,8,8,8,8,0.489700,0.452584,0.423584,0.835125,1.845240,false,0.835125,34.527316,37.358918
edge_rect,irregular,255x257x129,tiled,scalar,m8n16k8_t16x8,8,16,8,16,8,0.457379,0.447375,0.428709,0.503542,1.125548,true,0.447375,36.967187,37.793864
edge_rect,irregular,255x257x129,tiled,scalar,m16n8k8_t8x16,16,8,8,8,16,1.514546,0.435479,0.414292,10.671250,24.504626,false,10.671250,11.163763,38.826281
edge_rect,irregular,255x257x129,tiled,scalar,m16n16k8_t16x16,16,16,8,16,16,1.342250,0.647917,0.463167,4.650375,7.177424,false,4.650375,12.596781,26.095981
edge_rect,irregular,255x257x129,tiled,scalar,m16n16k16_t16x16,16,16,16,16,16,1.230067,0.544729,0.480167,3.682334,6.759938,false,3.682334,13.745619,31.039342
edge_rect,irregular,255x257x129,tiled,scalar,m8n32k8_t32x8,8,32,8,32,8,0.513392,0.499313,0.474875,0.559542,1.120625,true,0.499313,32.933976,33.862621
edge_rect,irregular,255x257x129,tiled,scalar,m32n8k8_t8x32,32,8,8,8,32,0.506983,0.504959,0.463167,0.554791,1.098686,true,0.504959,33.350270,33.483999
edge_rect,irregular,255x257x129,tiled,scalar,m16n32k8_t32x16,16,32,8,32,16,0.512892,0.514042,0.462250,0.537542,1.045716,true,0.514042,32.966082,32.892312
edge_rect,irregular,255x257x129,tiled,scalar,m32n16k8_t16x32,32,16,8,16,32,0.514775,0.504271,0.471584,0.573250,1.136791,true,0.504271,32.845470,33.529683
edge_rect,irregular,255x257x129,tiled,scalar,m32n32k8_t32x32,32,32,8,32,32,0.498721,0.504166,0.467916,0.518500,1.028430,true,0.504166,33.902811,33.536600
edge_rect,irregular,255x257x129,tiled,scalar,m8n64k8_t64x8,8,64,8,64,8,0.480292,0.480917,0.467000,0.490792,1.020535,true,0.480917,35.203669,35.157933
edge_rect,irregular,255x257x129,tiled,scalar,m64n8k8_t8x64,64,8,8,8,64,0.438308,0.433854,0.415458,0.461291,1.063240,true,0.433854,38.575656,38.971705
edge_rect,irregular,255x257x129,tiled,scalar,m16n64k8_t64x16,16,64,8,64,16,0.703388,0.480521,0.460375,2.272542,4.729329,false,2.272542,24.038002,35.186870
edge_rect,irregular,255x257x129,tiled,scalar,m64n16k8_t16x64,64,16,8,16,64,0.583412,0.594437,0.471083,0.621583,1.045666,true,0.594437,28.981266,28.443747
edge_rect,irregular,255x257x129,tiled,scalar,m16n16k4_t16x16,16,16,4,16,16,0.799367,0.618417,0.553084,2.232000,3.609218,false,2.232000,21.151784,27.340846
edge_rect,irregular,255x257x129,tiled,scalar,m32n8k4_t8x32,32,8,4,8,32,0.522025,0.514146,0.497958,0.570875,1.110337,true,0.514146,32.389311,32.885691
edge_rect,irregular,255x257x129,tiled,simdgroup,sg_m16n16k8_t32x4,16,16,8,32,4,0.356921,0.356499,0.346625,0.368083,1.032492,true,0.356499,47.371951,47.427921
edge_rect,irregular,255x257x129,tiled,simdgroup,sg_m16n16k8_t16x8,16,16,8,16,8,0.352600,0.352188,0.333791,0.370083,1.050811,true,0.352188,47.952439,48.008535
edge_rect,irregular,255x257x129,tiled,simdgroup,sg_m16n16k8_t8x16,16,16,8,8,16,0.407471,0.382479,0.342333,0.499834,1.306827,true,0.382479,41.495072,44.206427
edge_rect,irregular,255x257x129,mps,,,,,,,,0.367279,0.368125,0.337875,0.395667,1.074817,true,,46.035917,45.930132
